Beer Name,Brewery Name,Type,Their Rating,Global Rating,ABV,IBU,Total
Blood Orange Express Ipa,12Degree Brewing,3.75,3.91,5.9,40,1
Blood Orange IPA,Tommyknocker Brewery,3.75,3.73,6,55,1
Blood Orange Kölsch,Crystal Springs Brewing Company,3.75,3.77,4.9,25,1
Bob's Cedar IPA,Crystal Springs Brewing Company,4,3.66,8,54,1
Boogie Van,Craftsman Brew Co,3.75,3.96,7.2,N/A,1
Boomsauce,Lord Hobo Brewing Co.,4,3.91,8,78,1
Boopable Snoot,WeldWerks Brewing Co.,4.5,4.05,6.6,N/A,1
Boris The Spider,Spider Bite Beer Company,3.5,3.8,10,N/A,1
Boss Tweed,Old Nation Brewing Co.,5,4.27,9.3,68,2
Boston Lager,Samuel Adams,3.75,3.42,5,30,1
Bourbon Barrel Aged Imperial Stout,Finkel & Garf Brewing Company,4.25,4.14,12.9,70,1
Bourbon Barrel Aged Java Stout,Eddyline Brewery - USA,3.5,4.07,10,50,1
Brain Waves,Cerebral Brewing,4.5,4.09,6.9,N/A,1
Brew Free! or Die,21st Amendment Brewery,3.75,3.76,6.8,65,2
Brosef,Zydeco Brew Werks,4,3.86,5.5,N/A,1
Brown Ale,Upslope Brewing Company,3.25,3.64,6.7,45,1
Brown Ale,Kirkland Signature,2,3.13,5,23,1
Brownie Batter Stout,WeldWerks Brewing Co.,3.5,3.91,7.3,N/A,1
Bud Light,Anheuser-Busch,1.75,2.33,4.2,6,1
Budweiser,Anheuser-Busch,2,2.62,5,12,1
Bumps & Jumps Session IPA,Breckenridge Brewery,3,3.65,4.5,N/A,1
Bush Life,Leatherback Brewing Co.,3.75,3.57,6.4,15,1
Cactus Juice,12Degree Brewing,4,3.97,6.5,12,1
Can-O-Bliss® Tropical IPA,Oskar Blues Brewery®,3,3.76,7.2,68,1
Captive Gaze,Knotted Root Brewing Company,4.25,4.28,7.2,60,1
Cardboard Meteorite,WeldWerks Brewing Co.,4.5,4.21,8.3,N/A,1
Carib Lager,Carib Brewery Limited,3,2.98,5,N/A,1
Cart Horse,Old Nation Brewing Co.,4.25,4.08,7,60,1
Cashmere,Variant Brewing Company,4.25,4.06,8,N/A,1
Centennial IPA,Founders Brewing Co.,4,3.75,7.2,65,1
Cerveza,Irwin Brewing Company,4,3.54,5.4,18,1
Chang Classic,Thai Beverage PLC,2,2.92,5,12,1
Chasin' Freshies,Deschutes Brewery,3,3.77,6,55,1
Cherry Fog,12Degree Brewing,4,3.88,9.8,28,1
Cherry Saison,Crystal Springs Brewing Company,3.5,3.57,5.7,24,1
Chimay Grande Réserve (Blue),Bières de Chimay,4.25,3.9,9,35,1
Chocolate Peanut Butter Porter,Horny Goat Brewing Co.,2.75,3.72,6.5,55,1
Chowder,Storm Peak Brewing Company,3.75,3.87,6.1,N/A,1
Christmas Ale (2012),Anchor Brewing Company,3.75,3.58,5.5,N/A,1
Christmas Ale (2013),Anchor Brewing Company,4,3.57,5.5,N/A,1
Citra Ass Down,Against the Grain Brewery,3,3.89,8.2,68,1
Citra Citrus,4 Noses Brewing Company,3.75,4.07,6.9,N/A,1
Citra Cutting Tiles,Trillium Brewing Company,5,4.4,8.5,N/A,1
Citra DDH Juicy Bits,WeldWerks Brewing Co.,5,4.26,6.7,N/A,1
Citra IPA,Smuggler Union Brewery,3,3.86,6.8,75,1
Citra Pale Ale,Upslope Brewing Company,4,3.68,5.8,55,1
Citra Single Hop IPA,Odell Brewing Co.,3.5,3.86,6.5,50,1
Citradelic Tangerine IPA,New Belgium Brewing Company,3.75,3.69,6,50,1
Citralush New England IPA,Epic Brewing Company,3.75,3.84,7,83,1
Citropica IPA,Sycamore Brewing,4,3.78,6.8,60,2
Cityscapes,Ratio Beerworks,3.5,3.61,4.8,N/A,1
Cliff Drops,Outer Range Brewing Rockies/Alps,4,4.16,6.4,N/A,1
Cloud Catcher,Odell Brewing Co.,3.75,3.79,6.8,47,1
Cloud Harvest 06,Rhinegeist Brewery,3.75,3.78,6.5,N/A,1
Cloud Walker Hazy Juicy IPA,Victory Brewing Company,3.75,3.84,6.8,55,1
Coach,Odd13 Brewing,3.75,3.82,5,N/A,1
Coal Kriek,Gravity Brewing,3.75,3.79,6.5,25,2
Coalescence,WeldWerks Brewing Co.,4.25,4.13,7.3,N/A,2
Coconut Coffee Dark Alchemy,Variant Brewing Company,4.25,4.07,5.2,N/A,1
Codename: Holidayfan,Odd13 Brewing,4.5,4.24,11.4,N/A,1
Codename: Superfan,Odd13 Brewing,4.25,3.98,6.5,80,1
Coffee French Toast Stout,WeldWerks Brewing Co.,4.5,4.12,7.1,N/A,1
Coffee Maple Medianoche (2020),WeldWerks Brewing Co.,5,4.47,N/A,N/A,1
Cognizant Fog,Crystal Springs Brewing Company,4.25,N/A,7.2,46,1
Cold Snap,Samuel Adams,3.25,3.49,5.3,10,1
Colette Farmhouse Ale,Great Divide Brewing Company,3.75,3.6,7.3,35,1
CONNECT THE DOTS,Progression Brewing,4.5,3.99,7,18,1
Coors Banquet,Coors Brewing Company,2.75,2.84,5,15,1
Coors Light,Coors Brewing Company,2,2.44,4.2,10,1
Coriolis Effect,New Image Brewing,3.5,4.01,6.5,N/A,1
Corona Extra,Grupo Modelo,3,3.12,4.6,18,1
Corona Light,Grupo Modelo,2.5,2.8,4.1,18,1
Cosmic Crypt,TRVE Brewing Company,3.75,3.72,5.6,N/A,1
Country Boy IPA,Everybody's Brewing,3.25,3.57,6.2,80,1
Craft Lager,Upslope Brewing Company,3.75,3.44,4.8,15,1
Crank Yanker,Eddyline Brewery - USA,4.5,3.79,7,70,1
Crystal Springs IPA,Crystal Springs Brewing Company,3.75,3.61,7.1,78,1
Cumulus Juice,Rhinegeist Brewery,2.5,3.76,6.6,N/A,1
Curiosity One Hundred Five,Tree House Brewing Company,4.5,4.25,8.1,N/A,1
Cymbals,Stellwagen Beer Company,3.75,3.83,6,N/A,1
D-D-D-Devastation,Barrels & Bottles Brewery,3.75,3.73,6.5,N/A,1
Daisy Cutter,West Flanders Brewing Co.,3.75,3.67,7.9,23,1
Daisy Cutter Pale Ale,Half Acre Beer Company,3.75,3.79,5.2,60,1
Dale's® Pale Ale,Oskar Blues Brewery®,3.5,3.63,6.5,65,2
Dandelion Saison,Carver Brewing Company,3,3.71,6,42,1
Dankus Khan,Hops & Grain Brewing,4,3.89,N/A,N/A,1
DDH 3.8 Miles,WeldWerks Brewing Co.,4.75,4.18,8.4,N/A,1
DDH Juicy Bits,WeldWerks Brewing Co.,4.5,4.27,6.7,59,1
DDH Rare Trait,Cerebral Brewing,4.5,4.19,6.4,N/A,1
DDH Secret Chatroom,Cerebral Brewing,4.5,4.13,7.4,N/A,1
DDH Smithereens,Outer Range Brewing Rockies/Alps,4.5,4.31,8,N/A,1
Death By Coconut,Oskar Blues Brewery®,3.75,3.99,6.5,25,1
Deep Ellum® IPA,Deep Ellum Brewing Company®,3,3.72,7,70,1
Deschutes Black Bute Barrel Aged,Deschutes Brewery,4.25,3.91,13.6,40,1
Desert Modern,Bow & Arrow Brewing Co.,5,4,6.7,N/A,1
Deviated Daylight,Ruse Brewing,4.25,4.15,7.1,N/A,1
Devil's Ale,SanTan Brewing Company,3.5,3.54,5.5,45,1
Dirk Diggler,Odd13 Brewing,4,3.99,5.5,N/A,1
Diverge IPA,Faction Brewing,4,3.85,7,N/A,1
Doc's American Porter,Crystal Springs Brewing Company,3.75,3.66,7.1,51,1
Doolittle IPA,Red Leg Brewing Company,3,3.61,6.7,60,1
Doors of Perception,WeldWerks Brewing Co.,4.5,4.08,6.8,N/A,1
Doppelgänger,Tree House Brewing Company,4.5,4.47,8.2,88,1
Dortmunder Gold Lager,Great Lakes Brewing Company,3.5,3.56,5.8,30,1
Dos Equis Ambar,Cervecería Cuauhtémoc Moctezuma S.A. de C.V.,3.25,3.25,4.7,25,1
Dos Equis Lager Especial,Cervecería Cuauhtémoc Moctezuma S.A. de C.V.,3.25,3.1,4.2,10,1
"Double Double Double Double - Simcoe, Idaho 7, Nelson Sauvin",New Image Brewing,4.25,4.36,9.5,15,1
Double Dry Hopped Codename Superfan,Odd13 Brewing,4.75,4.32,6.5,N/A,1
Double Dry Hopped Congress Street,Trillium Brewing Company,4.5,4.48,7.2,N/A,1
Double Dry-Hopped 'Bout Damn Time,4 Noses Brewing Company,4.25,4.03,7.1,69,1
Double Ipa,Irwin Brewing Company,3.5,3.79,8,85,1
Double Mt Massive IPA,14er Brewing Company,3.25,3.75,8.3,74,1
Double Pier,Trillium Brewing Company,4.75,4.22,8.7,N/A,1
Dr. Lupulin 3x,Revision Brewing Company,3.75,4.06,11.3,133,1
Dragon's Milk,New Holland Brewing,4.25,4.06,11,30,1
Dream Bubbles,Knotted Root Brewing Company,5,4.44,8.5,55,1
Drip Drip Drip,Saucy Brew Works,4,3.89,7.5,N/A,1
Drumroll,Odell Brewing Co.,3.5,3.75,5.3,42,1
Duke's Cold Nose Brown Ale,Bold City Brewery,3.75,3.64,5,60,1
Dumpster Cock VIPA,Rock City Brewing Company,3.5,3.7,6,47,1
Dunkel,Prost Brewing Co. & Biergarten,3.5,3.68,5.6,24,1
East Coast IPA,Russell Brewing Company,3,3.75,6,53,1
East Coast Transplant,New Image Brewing,4.25,4.04,8.5,85,1
East Coast Transplant (DDH),New Image Brewing,4.25,4.19,8.5,N/A,2
East Hill,Tree House Brewing Company,4.25,4.1,5.4,N/A,1
Easy Street,Odell Brewing Co.,3.5,3.57,4.6,21,1
Eazy Cheeze,Gravity Brewing,3.75,3.41,5,25,1
Eclectic Potion - Sauvignon Blanc,Cerebral Brewing,4.25,4.26,11,N/A,1
EHT Medianoche,WeldWerks Brewing Co.,4.5,4.21,11.3,N/A,1
El Dorado DDH Juicy Bits,WeldWerks Brewing Co.,5,4.21,6.7,N/A,1
El Dorado Extra Extra Juicy Bits,WeldWerks Brewing Co.,4.25,4.28,8.6,N/A,1
El Jugo,La Cumbre Brewing Company,4,4.02,6.2,40,1
Elephant,Carlsberg Group,3,3.09,7.5,22,1
Elephino Double IPA,Red Rock Brewing Co.,3.75,3.9,8,88,1
Elevated IPA,La Cumbre Brewing Company,4,4.01,7.2,100,1
Ella DDH Juicy Bits,WeldWerks Brewing Co.,4.5,4.08,6.7,N/A,1
Ellie's Brown Ale,Avery Brewing Co.,3.75,3.62,5.5,28,1
English Brown Ale,Irwin Brewing Company,3,3.72,4.7,19,1
Epic Day Double IPA,Eddyline Brewery - USA,3.75,3.99,10,100,1
Eric's Ex-Wife,Odd13 Brewing,4,4.03,7.2,N/A,1
ESB,Redhook Brewery,3.25,3.44,5.8,28,1
escalante imperial ipa,Base Camp Beer Works,4,3.83,7.7,75,1
Evolution,The Grizzly Paw Brewing Company,3.25,3.73,6.2,67,1
EVOLVE,Progression Brewing,4,3.98,8,69,1
Extra Dry,Stillwater Artisanal,3.75,3.61,4.2,N/A,1
